Bed_Number,beds_1A,gsize_1A,facies_1A,lith_1A,amal_1A,beds_1B,gsize_1B,facies_1B,lith_1B,amal_1B,beds_1C,gsize_1C,facies_1C,lith_1C,amal_1C,beds_2A,gsize_2A,facies_2A,lith_2A,amal_2A,beds_3A,gsize_3A,facies_3A,lith_3A,amal_3A,beds_3B,gsize_3B,facies_3B,lith_3B,amal_3B,beds_4A,gsize_4A,facies_4A,lith_4A,amal_4A,beds_5A,gsize_5A,facies_5A,lith_5A,amal_5A,beds_5B,gsize_5B,facies_5B,lith_5B,amal_5B,beds_5C,gsize_5C,facies_5C,lith_5C,amal_5C,beds_6A,gsize_6A,facies_6A,lith_6A,amal_6A,beds_7A,gsize_7A,facies_7A,lith_7A,amal_7A,beds_7B,gsize_7B,facies_7B,lith_7B,amal_7B,beds_7C,gsize_7C,facies_7C,lith_7C,amal_7C,beds_7D,gsize_7D,facies_7D,lith_7D,amal_7D,beds_8A,gsize_8A,facies_8A,lith_8A,amal_8A,beds_8B,gsize_8B,facies_8B,lith_8B,amal_8B,beds_8C,gsize_8C,facies_8C,lith_8C,amal_8C,beds_9A,gsize_9A,facies_9A,lith_9A,amal_9A,beds_10A,gsize_10A,facies_10A,lith_10A,amal_10A,beds_11A,gsize_11A,facies_11A,lith_11A,amal_11A,beds_12A,gsize_12A,facies_12A,lith_12A,amal_12A,beds_13A,gsize_13A,facies_13A,lith_13A,amal_13A,beds_13B,gsize_13B,facies_13B,lith_13B,amal_13B
11,10,4,4,1,0,63,5,5,1,0,25,4,4,1,1,30,7,4,2,1,8,3,3,1,0,5,4,3,1,0,30,5,4,1,0,556,6,5,2,0,,,,,,,,,,,8,6,2,2,1,0.5,6,3,2,,6,5,3,2,,110,8,7,2,,4,3,3,1,,8,5,3,2,1,12,4,4,2,1,9,5,3,2,,,,,,,,,,,,,,,,,,,,,,1.1,4,3,1,1,137,8,7,2,1
12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,3,7,2,0,,,,,,94,3,6,2,,,,,,,,,,,,96,8,7,2,1,7.5,6,3,2,,9,4,3,2,1,10,5,3,2,1,,,,,,4,3,3,1,0,10,3,4,1,,3,6,3,2,1,3.5,3,3,1,,1.2,4,3,1,1,27,7,5,2,1
13,20,3,4,1,0,,,,,,6,3,3,1,0,29,5,4,2,1,7,3,3,1,0,17,5,4,1,1,85,8,6,1,0,,,,,,42,7,5,2,0,5,3,3,1,0,39,7,7,2,,0.5,5,3,2,,4,5,3,2,,97,8,7,2,1,,,,,,4,3,3,2,1,11,5,4,2,1,4,6,3,2,,,,,,,,,,,,5,4,3,1,1,3,5,3,2,,12.5,3,4,1,,,,,,
14,,,,,,35,3,4,1,0,,,,,,19,5,4,2,1,,,,,,12,5,4,1,1,93,5,5,2,0,,,,,,,,,,,,,,,,20,3,4,2,,,,,,,,,,,,5,7,3,2,1,3,6,3,2,,3,6,3,2,1,10,6,3,2,1,,,,,,2,3,3,1,0,5,3,3,1,,0.5,4,3,1,1,,,,,,0.1,5,3,2,,,,,,
15,40,4,4,1,0,,,,,,17,4,4,1,1,8,5,3,2,1,6,3,3,1,0,,,,,,,,,,,,,,,,,,,,,4,5,3,2,1,20,7,7,2,,3,7,3,2,,5.5,3,3,1,,5.5,7,3,2,1,,,,,,,,,,,,,,,,4,5,3,2,,,,,,,,,,,,,,,,,4.5,4,3,1,1,0.1,5,3,2,,,,,,
16,,,,,,,,,,,13,4,4,1,1,25,4,4,2,1,,,,,,7,4,3,1,0,15,6,4,2,0,,,,,,,,,,,7,5,3,2,1,26,8,7,2,,,,,,,,,,,,4.5,7,3,2,1,10.5,3,4,2,,2,6,3,2,,5,5,3,2,1,,,,,,3,3,3,1,0,5,3,3,1,1,5,5,3,1,1,3,3,3,1,1,0.2,5,3,2,,,,,,
17,,,,,,,,,,,33,4,4,1,1,,,,,,5,4,3,1,0,,,,,,15,3,4,1,0,,,,,,,,,,,,,,,,6,3,4,2,,1.8,7,3,2,,6,5,3,2,,86,8,7,2,,0.5,4,3,2,,,,,,,15,5,4,2,1,4,5,3,2,,,,,,,15.5,3,4,1,1,1,6,3,2,1,2,5,3,2,1,1,6,3,2,,,,,,
18,,,,,,,,,,,70,3,6,1,0,,,,,,,,,,,3,4,3,1,1,,,,,,,,,,,,,,,,5,3,3,1,0,10,6,4,2,,,,,,,,,,,,,,,,,0.5,5,3,2,,4,6,3,2,,,,,,,29,5,4,2,,1.5,3,3,1,0,3,6,3,2,1,4,5,3,1,1,3.5,3,3,1,1,5.5,3,3,1,,,,,,
19,13,3,4,1,0,,,,,,,,,,,7,4,3,1,0,7,4,3,1,0,2,4,3,1,1,8,4,3,1,0,,,,,,,,,,,,,,,,,,,,,5,6,3,2,,6,5,3,2,,,,,,,0.8,5,3,2,,,,,,,13,5,3,2,,,,,,,,,,,,,,,,,0.5,6,3,2,1,,,,,,2,5,3,2,,,,,,
20,,,,,,,,,,,12,4,4,1,1,,,,,,,,,,,5,4,3,1,1,,,,,,,,,,,,,,,,2,3,3,1,0,2,6,3,2,,,,,,,,,,,,,,,,,1,4,3,2,,6,6,3,2,,,,,,,5,5,3,2,,4.5,4,3,1,0,9,4,3,1,,8,3,3,1,1,1.5,3,3,1,,8,3,3,1,,,,,,
21,,,,,,,,,,,10,4,4,1,1,5,6,3,2,0,4,3,3,1,0,3,4,3,1,1,2,4,3,1,0,,,,,,,,,,,,,,,,,,,,,8,6,3,2,,10,3,4,2,1,,,,,,,,,,,,,,,,7,5,3,2,,,,,,,,,,,,,,,,,1,7,3,2,1,7,6,3,2,,,,,,,,,,,
22,,,,,,,,,,,,,,,,,,,,,,,,,,6,4,3,1,1,,,,,,,,,,,,,,,,7,4,3,1,0,2,6,3,2,,,,,,,2.5,3,3,2,1,,,,,,4,3,3,2,,14,5,4,2,1,,,,,,2,5,3,2,,3,6,3,2,0,5,3,3,1,,14,4,4,1,1,,,,,,2.4,6,3,2,,,,,,
23,,,,,,,,,,,17,4,4,1,1,7,3,3,1,0,7,3,3,1,0,,,,,,6,5,3,2,0,,,,,,,,,,,,,,,,15,5,4,2,,6.5,6,3,2,,11,2,1,2,,,,,,,9,5,3,2,,8,5,4,2,1,19,5,4,2,1,,,,,,,,,,,,,,,,6,8,3,2,1,2.5,3,3,1,,,,,,,,,,,
24,9,4,3,1,0,,,,,,24,4,4,1,1,,,,,,,,,,,7,5,3,1,0,,,,,,,,,,,,,,,,19,5,4,2,0,7,3,3,2,,,,,,,42,7,5,2,,,,,,,,,,,,,,,,,13,4,4,2,1,3,5,3,2,,,,,,,,,,,,,,,,,,,,,,16,6,4,2,,,,,,
25,,,,,,,,,,,35,4,4,1,1,,,,,,5,3,3,1,0,,,,,,46,5,4,1,1,,,,,,,,,,,,,,,,8,6,3,2,,8,7,3,2,,4.5,2,1,2,,,,,,,2,3,3,1,1,6,5,3,2,,6,5,3,2,1,,,,,,24,6,2,2,0,,,,,,2,7,3,2,1,1.5,7,3,2,,5,3,3,1,,,,,,
26,12,3,4,1,0,,,,,,32,3,4,1,0,,,,,,3,3,3,1,0,5,3,3,1,0,26,5,4,1,1,,,,,,,,,,,25,3,4,1,0,18,3,4,2,,,,,,,3,5,3,2,,,,,,,2.2,3,3,1,1,,,,,,,,,,,4,5,3,2,,,,,,,20,6,4,1,,8,3,3,1,1,3.5,3,3,1,1,5,5,3,2,,,,,,
27,,,,,,,,,,,35,4,4,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,6,4,2,,4.5,7,3,2,,,,,,,,,,,,,,,,,4,4,3,2,1,8,5,3,2,1,,,,,,7,7,3,2,1,,,,,,0.5,6,3,2,1,2.5,3,3,1,1,,,,,,,,,,
28,,,,,,,,,,,37,4,4,1,1,,,,,,2,3,3,1,0,3,3,3,1,0,19,5,4,1,0,,,,,,,,,,,6,3,3,1,0,,,,,,,,,,,38,7,4,2,1,,,,,,11.5,5,4,2,,4,6,3,2,1,7,5,3,2,1,9,5,3,2,,3,7,3,2,1,5,3,3,1,1,5,3,3,1,1,,,,,,2.5,6,3,2,,,,,,
29,,,,,,,,,,,26,4,4,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,5,7,2,,17,7,4,2,,35,6,4,2,1,,,,,,,,,,,10,6,3,2,1,2,5,3,2,1,,,,,,,,,,,1,3,3,1,1,4,8,5,2,1,2,5,3,2,,,,,,,,,,,
30,,,,,,,,,,,,,,,,,,,,,6,3,3,1,0,2,3,3,1,0,20,3,4,1,0,,,,,,,,,,,,,,,,59,8,7,2,,,,,,,,,,,,,,,,,6,5,3,2,,9,6,3,2,1,,,,,,10,5,3,2,1,8,5,3,1,1,1,3,3,1,1,17,3,4,1,1,,,,,,2.8,6,3,1,,,,,,
31,,,,,,,,,,,39,4,4,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,3,2,0,47,8,7,2,,6,7,3,2,,4,3,3,1,,,,,,,,,,,,,,,,,9,4,3,2,,16,5,2,2,1,12,5,4,1,1,4,3,3,1,1,0.5,7,3,2,1,5,5,3,2,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,,4,3,3,1,0,3,3,3,1,0,15,3,4,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,5,3,2,,33,5,4,2,,,,,,,16,2,2,2,,,,,,,,,,,,3,3,3,1,1,21,3,6,1,,11,7,4,2,,,,,,
33,,,,,,,,,,,5,3,3,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,3,2,0,10,5,4,2,,6,7,3,2,,2,3,3,1,,,,,,,4,3,3,1,,,,,,,6,5,3,2,1,2,3,3,2,,7.5,6,3,2,1,3.5,3,3,1,1,9,4,3,1,1,3,5,3,2,,,,,,,,,,,
34,,,,,,,,,,,,,,,,,,,,,4,3,3,1,0,,,,,,2,4,3,1,0,,,,,,,,,,,,,,,,,,,,,9,8,2,2,,,,,,,,,,,,,,,,,8,6,3,2,,7,5,3,2,1,,,,,,5.5,6,3,2,1,5,3,3,1,1,7,5,3,1,1,,,,,,6.5,6,3,2,,,,,,
35,,,,,,,,,,,25,4,4,1,0,,,,,,,,,,,,,,,,18,3,4,1,1,,,,,,,,,,,14,5,4,2,0,210,8,7,2,,2,3,3,2,,7,7,3,2,,,,,,,7,6,3,2,,,,,,,8,4,3,2,1,9,5,3,2,1,,,,,,,,,,,5,6,3,2,1,4.5,6,3,2,,,,,,,,,,,
36,,,,,,,,,,,,,,,,,,,,,4,3,3,1,0,12,3,4,1,0,15,3,4,1,1,,,,,,,,,,,,,,,,500,8,7,2,,3,6,3,2,,13,2,1,1,,,,,,,,,,,,9,5,3,2,,29,4,4,2,1,4.5,5,3,2,1,1.5,6,3,2,0,,,,,,1,6,3,1,1,16,4,4,1,,3,3,3,1,,,,,,
37,,,,,,,,,,,45,4,4,1,0,,,,,,2,3,3,1,0,,,,,,,,,,,,,,,,,,,,,5,5,3,2,0,,,,,,,,,,,4.5,3,3,1,,,,,,,5.5,3,3,1,,,,,,,23,5,4,2,1,,,,,,,,,,,4.5,6,3,2,1,1.5,6,3,2,1,,,,,,,,,,,,,,,
38,,,,,,,,,,,,,,,,,,,,,,,,,,9,5,3,1,0,26,3,4,1,0,,,,,,,,,,,,,,,,,,,,,17,8,4,2,,11,8,7,2,1,,,,,,,,,,,16,5,4,2,,4,5,3,2,1,4,3,3,2,,9,6,3,2,0,3,5,3,2,1,3,3,3,1,1,3,4,3,1,,7,8,3,1,,,,,,
39,,,,,,,,,,,4,3,3,1,0,,,,,,9,3,3,1,0,,,,,,,,,,,,,,,,,,,,,3,4,3,2,1,,,,,,,,,,,18,8,4,2,1,,,,,,5.5,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,3,1,1,,,,,,,,,,,,,,,
40,,,,,,,,,,,30,4,4,1,1,,,,,,,,,,,12,3,4,1,1,3,6,3,2,0,,,,,,,,,,,7,4,3,2,1,,,,,,10,7,3,2,,87,8,7,2,1,,,,,,,,,,,20,6,4,2,1,4,5,3,2,1,4,4,3,2,,26,3,4,1,0,4,6,3,2,,7,5,3,1,1,7,4,3,1,,4,4,3,1,1,,,,,
41,,,,,,,,,,,12,3,4,1,1,,,,,,10,3,4,1,0,8,3,3,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87,8,7,2,1,,,,,,3.6,5,3,2,,3,6,3,2,1,6,5,2,2,1,,,,,,,,,,,,,,,,1,7,3,1,1,,,,,,15,5,4,2,1,,,,,
42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,3,4,1,0,,,,,,,,,,,4,3,3,1,1,,,,,,9,6,3,2,,102,7,7,2,1,,,,,,8,3,3,1,,3,6,3,2,1,,,,,,5,4,3,2,,,,,,,3,3,3,1,,0.5,9,5,2,1,2,3,3,1,,5,5,3,2,1,,,,,
43,,,,,,,,,,,,,,,,,,,,,14,3,4,1,0,7,4,3,1,0,5,4,3,1,0,,,,,,,,,,,5,3,3,1,1,,,,,,,,,,,48,8,7,2,1,,,,,,,,,,,8,5,3,2,1,9,4,3,2,,,,,,,7,3,3,1,1,,,,,,3,4,3,1,1,,,,,,19,3,4,1,,,,,,
44,,,,,,,,,,,20,3,4,1,0,,,,,,,,,,,,,,,,10,3,4,1,1,,,,,,,,,,,,,,,,,,,,,1.5,6,3,2,1,89,8,7,2,1,,,,,,9,5,3,2,,,,,,,,,,,,10,3,3,2,,14,3,4,1,1,2,3,3,1,,5,4,6,1,1,2,3,3,1,,,,,,,,,,,
45,,,,,,,,,,,,,,,,,,,,,,,,,,5,3,3,1,0,27,3,4,1,1,,,,,,,,,,,13,3,3,1,0,,,,,,7,7,3,2,1,35,8,7,2,1,,,,,,,,,,,30,3,5,2,,6,4,3,2,,,,,,,,,,,,,,,,,2,4,3,1,1,,,,,,9,4,3,1,,,,,,
46,,,,,,,,,,,50,4,4,1,0,,,,,,13,3,4,1,0,,,,,,10,4,4,1,0,,,,,,,,,,,6,5,3,2,0,,,,,,,,,,,44,8,7,2,1,,,,,,4,3,3,2,,,,,,,,,,,,11,5,4,2,,1.5,5,3,1,0,6,5,3,2,,4,6,3,1,1,1.5,5,3,2,,2,5,3,2,,,,,,
47,,,,,,,,,,,,,,,,,,,,,,,,,,6,3,3,1,0,24,3,4,1,0,,,,,,,,,,,,,,,,,,,,,4,5,3,2,,47,8,7,2,,,,,,,,,,,,6,3,3,2,,6,4,3,2,1,,,,,,,,,,,,,,,,4,8,3,2,1,,,,,,1,3,3,1,,,,,,
48,,,,,,,,,,,35,4,4,1,1,,,,,,21,3,4,1,0,,,,,,3,4,3,1,0,,,,,,,,,,,5,4,3,1,1,,,,,,,,,,,57,8,7,2,,,,,,,3.5,5,3,2,,,,,,,5,5,3,2,1,7,5,3,2,,25,3,4,1,0,3,5,3,2,,,,,,,18,6,4,2,,12,5,4,2,,,,,,
49,,,,,,,,,,,26,4,4,1,1,,,,,,21,4,4,1,0,4,3,3,1,0,,,,,,,,,,,,,,,,18,4,4,1,1,,,,,,5.5,5,3,2,,,,,,,,,,,,,,,,,16,4,4,2,1,15,4,4,2,1,,,,,,,,,,,,,,,,2,6,3,2,,,,,,,,,,,,,,,,
50,,,,,,,,,,,23,3,4,1,1,,,,,,,,,,,,,,,,14,3,4,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,5,3,2,1,21,5,4,2,1,,,,,,23,5,4,2,1,1.5,5,3,1,0,20,2,5,2,,,,,,,4.5,4,3,1,,7.5,5,3,2,,,,,,
51,,,,,,,,,,,,,,,,,,,,,107,4,4,1,0,,,,,,9,3,3,1,1,,,,,,,,,,,2,3,3,1,0,,,,,,5.5,4,3,2,,,,,,,,,,,,3,4,3,2,1,,,,,,5,5,3,2,1,8,5,3,2,1,,,,,,,,,,,2,4,3,1,1,,,,,,,,,,,,,,,
52,,,,,,,,,,,52,4,4,1,0,,,,,,,,,,,42,5,4,1,0,5,3,3,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,3,3,2,,8,5,3,2,1,,,,,,10,4,4,1,0,2,3,3,1,,4,3,3,1,1,1,5,3,1,,,,,,,,,,,
53,,,,,,,,,,,,,,,,,,,,,6,3,3,1,1,,,,,,10,3,4,1,1,,,,,,,,,,,3,4,3,1,0,,,,,,2,7,3,2,,,,,,,,,,,,2.3,4,3,2,,,,,,,26,5,4,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,,,,,,,,,,,8,4,3,1,1,,,,,,12,3,4,1,1,10,4,4,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3,3,2,,31,4,4,2,1,,,,,,20,3,4,1,1,6.5,6,3,2,,0.5,6,3,2,,1,3,3,1,1,,,,,,,,,,
55,,,,,,,,,,,11,4,4,1,1,,,,,,13,3,4,1,1,,,,,,11,3,4,1,0,,,,,,,,,,,6,4,3,1,1,,,,,,2,5,3,2,,,,,,,,,,,,0.9,3,3,1,,,,,,,11,4,6,2,1,,,,,,13,3,4,1,1,,,,,,,,,,,1.5,3,3,1,1,,,,,,,,,,
56,,,,,,,,,,,25,4,4,1,1,,,,,,,,,,,29,5,4,1,0,,,,,,,,,,,,,,,,12,4,4,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,28,5,4,2,,11,3,4,2,1,,,,,,8,3,3,1,1,14,3,4,1,,6,3,3,1,1,1.4,3,3,1,1,,,,,,,,,,
57,,,,,,,,,,,,,,,,,,,,,2,4,3,1,0,,,,,,13,3,4,1,0,,,,,,,,,,,,,,,,,,,,,1.9,6,3,2,,,,,,,,,,,,14,5,4,2,,28,3,4,2,,,,,,,,,,,,12,3,4,1,1,2.5,5,3,2,,1,5,3,2,1,,,,,,,,,,,,,,,
58,,,,,,,,,,,19,4,4,1,0,,,,,,,,,,,33,3,2,1,0,,,,,,,,,,,,,,,,6,4,3,1,1,,,,,,,,,,,,,,,,,,,,,3,3,3,1,,9,5,3,2,1,4,5,3,2,1,,,,,,,,,,,,,,,,,,,,,1.5,6,3,2,,,,,,,,,,,
59,,,,,,,,,,,34,3,4,1,0,,,,,,12,4,4,1,1,,,,,,8,3,3,1,0,,,,,,,,,,,6,4,3,1,1,,,,,,4,7,3,2,1,,,,,,,,,,,6,5,3,2,,6,5,3,2,1,6,6,3,2,1,,,,,,47,6,2,2,0,4,5,3,2,,0.5,4,3,2,1,,,,,,,,,,,,,,,
60,,,,,,,,,,,,,,,,,,,,,36,4,4,1,1,36,4,4,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,6,3,2,1,,,,,,,,,,,,,,,,,,,,,28,5,4,2,1,,,,,,,,,,,,,,,,5,3,3,1,1,3,6,3,2,,,,,,,,,,,
61,,,,,,,,,,,29,3,4,1,0,,,,,,23,4,4,1,1,10,5,4,1,1,6,6,3,2,0,,,,,,,,,,,4,5,3,1,0,,,,,,,,,,,,,,,,,,,,,7.5,6,3,2,,8,5,3,2,1,3,7,3,2,1,,,,,,9,5,3,1,0,8,3,3,1,,1,5,3,2,1,,,,,,,,,,,,,,,
62,,,,,,,,,,,35,4,4,1,0,,,,,,,,,,,10,5,4,1,1,20,3,4,1,0,,,,,,,,,,,,,,,,,,,,,1.4,4,3,2,,,,,,,,,,,,,,,,,18,5,4,2,1,5,3,6,2,1,,,,,,,,,,,,,,,,4,3,3,1,1,19,3,4,1,,,,,,,,,,,
63,,,,,,,,,,,,,,,,,,,,,14,3,4,1,0,10,5,4,1,1,9,5,3,1,0,,,,,,,,,,,8,5,3,1,0,,,,,,,,,,,,,,,,,,,,,11,5,4,2,,3,5,3,2,1,5,3,6,2,1,,,,,,7,3,3,1,0,9,3,3,1,,9,4,3,1,1,14,3,6,1,,,,,,,,,,,
64,,,,,,,,,,,22,3,4,1,0,,,,,,,,,,,,,,,,76,4,5,1,0,,,,,,,,,,,,,,,,,,,,,6,5,3,2,1,,,,,,,,,,,,,,,,13,5,4,2,1,7,8,4,2,1,,,,,,,,,,,,,,,,,,,,,5,5,3,2,,,,,,,,,,,
65,,,,,,,,,,,,,,,,,,,,,5,3,3,1,0,9,4,3,1,0,18,4,4,1,1,,,,,,,,,,,5,4,3,1,0,,,,,,2,5,3,2,1,,,,,,,,,,,15,6,4,2,,,,,2,,3,5,3,2,1,,,,,,12,7,4,2,0,,,,,,0.3,6,3,2,1,,,,,,,,,,,,,,,
66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,4,4,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,10,3,3,2,1,,,,,,,,,,,,,,,,,,,,,1.5,5,3,2,,,,,,,,,,,
67,,,,,,,,,,,7,3,3,1,0,,,,,,11,3,4,1,1,21,4,4,1,0,8,4,3,1,1,,,,,,,,,,,4,4,3,1,0,,,,,,3,6,3,2,,,,,,,,,,,,5,6,3,2,,,,,2,,27,6,4,2,1,,,,,,7,4,3,1,1,,,,,,0.4,6,3,2,1,,,,,,,,,,,,,,,
68,,,,,,,,,,,,,,,,,,,,,10,3,4,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,5,6,3,2,1,,,,,,18,5,4,1,1,,,,,,,,,,,1.8,5,3,1,,,,,,,,,,,
69,,,,,,,,,,,14,3,4,1,0,,,,,,12,4,4,1,1,20,5,4,1,0,8,3,3,1,0,,,,,,,,,,,3,3,3,1,0,,,,,,1.1,4,3,2,,,,,,,,,,,,2.6,6,3,2,,,,,2,,,,,,,,,,,,,,,,,,,,,,0.5,7,3,2,,,,,,,,,,,,,,,,
70,,,,,,,,,,,,,,,,,,,,,9,4,3,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,11,5,4,2,1,,,,,,4,6,3,2,0,,,,,,,,,,,6,5,3,1,,,,,,,,,,,
71,,,,,,,,,,,6,3,3,1,0,,,,,,,,,,,10,5,4,1,0,,,,,,,,,,,,,,,,2,3,3,1,0,,,,,,16.5,8,4,2,,,,,,,,,,,,4.5,3,3,2,,,,,2,,15,4,4,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
